      Comparison1   Comparison2  I3D_pcomp_Prediction  I3D_ptarget_Prediction  I3D_pavg_Prediction  I3D_pcomp_MAP_Prediction  I3D_ptarget_MAP_Prediction  I3D_pavg_MAP_Prediction  I3D_pcomp_w_Prediction  I3D_ptarget_w_Prediction  I3D_pavg_w_Prediction  I3D_pcomp_MAP_w_Prediction  I3D_ptarget_MAP_w_Prediction  I3D_pavg_MAP_w_Prediction
15    o1_t2_ap_d1   o1_t2_mf_d2                     0                       0                    0                         0                           1                        0                       0                         0                      0                           0                             1                          0
16    o1_t2_ap_d1   o1_t2_rp_d1                     0                       1                    1                         0                           1                        0                       0                         1                      1                           0                             1                          0
17    o1_t2_ap_d1   o1_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
18    o1_t2_ap_d2   o1_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
19    o1_t2_ap_d2   o1_t2_mf_d2                     0                       0                    0                         0                           1                        1                       0                         0                      0                           0                             1                          0
20    o1_t2_ap_d2   o1_t2_rp_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          0
21    o1_t2_ap_d2   o1_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
22    o1_t2_mf_d1   o1_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
23    o1_t2_mf_d1   o1_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
24    o1_t2_mf_d1   o1_t2_rp_d2                     0                       1                    1                         0                           1                        1                       1                         1                      1                           0                             1                          1
25    o1_t2_mf_d2   o1_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
26    o1_t2_mf_d2   o1_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
27    o1_t2_rp_d1   o1_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
28    o2_t1_cs_d1   o2_t1_cs_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
29    o2_t1_cs_d1   o2_t2_ap_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
30    o2_t1_cs_d1   o2_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
31    o2_t1_cs_d1   o2_t2_mf_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
32    o2_t1_cs_d1   o2_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
33    o2_t1_cs_d1   o2_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
34    o2_t1_cs_d1   o2_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
35    o2_t1_cs_d2   o2_t2_ap_d1                     1                       1                    1                         1                           0                        1                       1                         1                      1                           1                             0                          1
36    o2_t1_cs_d2   o2_t2_ap_d2                     0                       0                    0                         1                           0                        1                       0                         0                      0                           1                             0                          1
37    o2_t1_cs_d2   o2_t2_mf_d1                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
38    o2_t1_cs_d2   o2_t2_mf_d2                     0                       1                    0                         0                           0                        0                       0                         1                      0                           0                             0                          0
39    o2_t1_cs_d2   o2_t2_rp_d1                     0                       1                    0                         1                           1                        1                       0                         1                      1                           1                             1                          1
40    o2_t1_cs_d2   o2_t2_rp_d2                     0                       1                    0                         1                           0                        1                       0                         1                      0                           1                             0                          1
41    o2_t2_ap_d1   o2_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
42    o2_t2_ap_d1   o2_t2_mf_d1                     0                       1                    1                         1                           1                        1                       0                         1                      0                           1                             1                          1
43    o2_t2_ap_d1   o2_t2_mf_d2                     0                       1                    0                         0                           0                        0                       0                         0                      0                           0                             1                          0
44    o2_t2_ap_d1   o2_t2_rp_d1                     0                       1                    0                         1                           1                        1                       0                         1                      0                           1                             1                          1
45    o2_t2_ap_d1   o2_t2_rp_d2                     0                       1                    0                         1                           0                        0                       0                         0                      0                           1                             0                          1
46    o2_t2_ap_d2   o2_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
47    o2_t2_ap_d2   o2_t2_mf_d2                     0                       1                    1                         0                           1                        0                       0                         1                      1                           0                             1                          0
48    o2_t2_ap_d2   o2_t2_rp_d1                     0                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
49    o2_t2_ap_d2   o2_t2_rp_d2                     0                       1                    0                         1                           1                        1                       0                         1                      0                           1                             1                          1
50    o2_t2_mf_d1   o2_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
51    o2_t2_mf_d1   o2_t2_rp_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
52    o2_t2_mf_d1   o2_t2_rp_d2                     0                       0                    0                         1                           0                        0                       0                         0                      0                           1                             0                          1
53    o2_t2_mf_d2   o2_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
54    o2_t2_mf_d2   o2_t2_rp_d2                     0                       1                    0                         1                           0                        1                       0                         1                      0                           1                             0                          1
55    o2_t2_rp_d1   o2_t2_rp_d2                     0                       0                    0                         1                           0                        0                       0                         0                      0                           1                             0                          1
56    o3_t1_cs_d1   o3_t1_cs_d2                     0                       0                    0                         0                           0                        0                       1                         0                      1                           0                             0                          0
57    o3_t1_cs_d1   o3_t2_ap_d1                     0                       0                    0                         0                           0                        0                       1                         0                      0                           0                             0                          0
58    o3_t1_cs_d1   o3_t2_ap_d2                     0                       0                    0                         0                           0                        0                       1                         0                      0                           0                             0                          0
59    o3_t1_cs_d1   o3_t2_mf_d1                     1                       1                    1                         0                           0                        0                       1                         1                      1                           0                             1                          0
60    o3_t1_cs_d1   o3_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
61    o3_t1_cs_d1   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         0                      1                           1                             1                          1
62    o3_t1_cs_d1   o3_t2_rp_d2                     0                       0                    0                         0                           0                        0                       1                         0                      1                           0                             0                          0
63    o3_t1_cs_d2   o3_t2_ap_d1                     1                       0                    0                         1                           0                        1                       1                         0                      0                           1                             0                          1
64    o3_t1_cs_d2   o3_t2_ap_d2                     1                       0                    1                         0                           0                        0                       0                         0                      0                           0                             0                          0
65    o3_t1_cs_d2   o3_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
66    o3_t1_cs_d2   o3_t2_mf_d2                     1                       1                    1                         0                           1                        0                       0                         1                      0                           0                             1                          0
67    o3_t1_cs_d2   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
68    o3_t1_cs_d2   o3_t2_rp_d2                     1                       1                    1                         1                           0                        1                       1                         0                      1                           1                             1                          1
69    o3_t2_ap_d1   o3_t2_ap_d2                     1                       1                    1                         0                           1                        0                       0                         1                      1                           0                             1                          0
70    o3_t2_ap_d1   o3_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
71    o3_t2_ap_d1   o3_t2_mf_d2                     0                       1                    1                         0                           1                        0                       0                         1                      1                           0                             1                          0
72    o3_t2_ap_d1   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
73    o3_t2_ap_d1   o3_t2_rp_d2                     1                       1                    1                         0                           1                        0                       1                         1                      1                           0                             1                          1
74    o3_t2_ap_d2   o3_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
75    o3_t2_ap_d2   o3_t2_mf_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
76    o3_t2_ap_d2   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
77    o3_t2_ap_d2   o3_t2_rp_d2                     0                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
78    o3_t2_mf_d1   o3_t2_mf_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
79    o3_t2_mf_d1   o3_t2_rp_d1                     1                       0                    1                         1                           1                        1                       1                         0                      0                           1                             1                          1
80    o3_t2_mf_d1   o3_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
81    o3_t2_mf_d2   o3_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
82    o3_t2_mf_d2   o3_t2_rp_d2                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             1                          1
83    o3_t2_rp_d1   o3_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
84    o4_t1_cs_d1   o4_t1_cs_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
85    o4_t1_cs_d1   o4_t2_ap_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
86    o4_t1_cs_d1   o4_t2_ap_d2                     0                       1                    1                         0                           1                        0                       0                         0                      0                           0                             0                          0
87    o4_t1_cs_d1   o4_t2_mf_d1                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
88    o4_t1_cs_d1   o4_t2_mf_d2                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
89    o4_t1_cs_d1   o4_t2_rp_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
90    o4_t1_cs_d1   o4_t2_rp_d2                     0                       1                    1                         0                           1                        0                       0                         1                      0                           0                             1                          0
91    o4_t1_cs_d2   o4_t2_ap_d1                     1                       1                    1                         1                           0                        0                       1                         0                      1                           1                             1                          1
92    o4_t1_cs_d2   o4_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
93    o4_t1_cs_d2   o4_t2_mf_d1                     1                       1                    1                         1                           0                        0                       1                         1                      1                           1                             1                          1
94    o4_t1_cs_d2   o4_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
95    o4_t1_cs_d2   o4_t2_rp_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           1                             1                          1
96    o4_t1_cs_d2   o4_t2_rp_d2                     0                       1                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
97    o4_t2_ap_d1   o4_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
98    o4_t2_ap_d1   o4_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
99    o4_t2_ap_d1   o4_t2_mf_d2                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
100   o4_t2_ap_d1   o4_t2_rp_d1                     0                       1                    0                         0                           1                        1                       0                         1                      0                           1                             1                          1
101   o4_t2_ap_d1   o4_t2_rp_d2                     0                       0                    0                         0                           1                        0                       0                         0                      0                           0                             0                          0
102   o4_t2_ap_d2   o4_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
103   o4_t2_ap_d2   o4_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
104   o4_t2_ap_d2   o4_t2_rp_d1                     0                       1                    0                         1                           1                        1                       1                         1                      1                           1                             1                          1
105   o4_t2_ap_d2   o4_t2_rp_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
106   o4_t2_mf_d1   o4_t2_mf_d2                     0                       0                    0                         1                           1                        1                       0                         0                      0                           0                             1                          1
107   o4_t2_mf_d1   o4_t2_rp_d1                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
108   o4_t2_mf_d1   o4_t2_rp_d2                     0                       0                    0                         0                           1                        0                       0                         0                      0                           0                             0                          0
109   o4_t2_mf_d2   o4_t2_rp_d1                     0                       1                    0                         0                           0                        0                       0                         1                      0                           0                             0                          0
110   o4_t2_mf_d2   o4_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
111   o4_t2_rp_d1   o4_t2_rp_d2                     1                       0                    1                         0                           0                        0                       0                         0                      0                           0                             0                          0
112   o5_t1_cs_d1   o5_t1_cs_d2                     1                       0                    0                         0                           0                        0                       1                         0                      0                           0                             0                          0
113   o5_t1_cs_d1   o5_t2_ap_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
114   o5_t1_cs_d1   o5_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
115   o5_t1_cs_d1   o5_t2_mf_d1                     0                       0                    0                         0                           1                        1                       0                         1                      0                           0                             1                          1
116   o5_t1_cs_d1   o5_t2_mf_d2                     1                       1                    1                         0                           0                        0                       0                         1                      1                           0                             0                          0
117   o5_t1_cs_d1   o5_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
118   o5_t1_cs_d1   o5_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
119   o5_t1_cs_d2   o5_t2_ap_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
120   o5_t1_cs_d2   o5_t2_ap_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
121   o5_t1_cs_d2   o5_t2_mf_d1                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
122   o5_t1_cs_d2   o5_t2_mf_d2                     0                       1                    1                         1                           0                        0                       0                         1                      1                           1                             1                          1
123   o5_t1_cs_d2   o5_t2_rp_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
124   o5_t1_cs_d2   o5_t2_rp_d2                     0                       1                    1                         0                           1                        0                       0                         1                      1                           0                             1                          0
125   o5_t2_ap_d1   o5_t2_ap_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
126   o5_t2_ap_d1   o5_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
127   o5_t2_ap_d1   o5_t2_mf_d2                     1                       1                    1                         1                           0                        0                       1                         1                      1                           1                             0                          0
128   o5_t2_ap_d1   o5_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
129   o5_t2_ap_d1   o5_t2_rp_d2                     0                       1                    1                         0                           1                        0                       0                         1                      1                           0                             1                          0
130   o5_t2_ap_d2   o5_t2_mf_d1                     0                       1                    0                         1                           1                        1                       0                         1                      0                           1                             1                          1
131   o5_t2_ap_d2   o5_t2_mf_d2                     1                       1                    1                         1                           0                        0                       1                         1                      1                           1                             0                          0
132   o5_t2_ap_d2   o5_t2_rp_d1                     0                       0                    0                         1                           1                        1                       0                         0                      0                           0                             1                          1
133   o5_t2_ap_d2   o5_t2_rp_d2                     0                       0                    0                         0                           1                        0                       0                         0                      0                           0                             1                          0
134   o5_t2_mf_d1   o5_t2_mf_d2                     1                       1                    1                         0                           0                        0                       1                         1                      1                           0                             0                          0
135   o5_t2_mf_d1   o5_t2_rp_d1                     1                       0                    1                         0                           0                        0                       1                         0                      1                           0                             0                          0
136   o5_t2_mf_d1   o5_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
137   o5_t2_mf_d2   o5_t2_rp_d1                     0                       0                    0                         0                           1                        1                       0                         0                      0                           0                             1                          1
138   o5_t2_mf_d2   o5_t2_rp_d2                     0                       0                    0                         0                           1                        1                       0                         0                      0                           0                             1                          0
139   o5_t2_rp_d1   o5_t2_rp_d2                     0                       1                    0                         0                           1                        0                       0                         1                      0                           0                             1                          0
140   o6_t1_cs_d1   o6_t1_cs_d2                     1                       1                    1                         1                           0                        0                       1                         1                      1                           1                             0                          0
141   o6_t1_cs_d1   o6_t2_ap_d1                     1                       1                    1                         1                           0                        0                       1                         1                      1                           1                             1                          1
142   o6_t1_cs_d1   o6_t2_ap_d2                     1                       1                    1                         1                           0                        1                       1                         1                      1                           1                             1                          1
143   o6_t1_cs_d1   o6_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
144   o6_t1_cs_d1   o6_t2_mf_d2                     1                       1                    1                         1                           0                        0                       1                         1                      1                           1                             0                          0
145   o6_t1_cs_d1   o6_t2_rp_d1                     1                       1                    1                         0                           0                        0                       1                         1                      1                           0                             0                          0
146   o6_t1_cs_d1   o6_t2_rp_d2                     0                       1                    1                         1                           0                        0                       0                         1                      1                           1                             0                          0
147   o6_t1_cs_d2   o6_t2_ap_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
148   o6_t1_cs_d2   o6_t2_ap_d2                     1                       1                    1                         0                           1                        1                       1                         1                      1                           0                             1                          1
149   o6_t1_cs_d2   o6_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
150   o6_t1_cs_d2   o6_t2_mf_d2                     1                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
151   o6_t1_cs_d2   o6_t2_rp_d1                     1                       0                    0                         0                           1                        0                       1                         0                      0                           0                             1                          0
152   o6_t1_cs_d2   o6_t2_rp_d2                     0                       0                    0                         0                           1                        1                       0                         0                      0                           0                             1                          1
153   o6_t2_ap_d1   o6_t2_ap_d2                     0                       1                    1                         0                           1                        1                       0                         0                      0                           0                             0                          0
154   o6_t2_ap_d1   o6_t2_mf_d1                     1                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
155   o6_t2_ap_d1   o6_t2_mf_d2                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             0                          0
156   o6_t2_ap_d1   o6_t2_rp_d1                     0                       0                    0                         0                           1                        0                       0                         0                      0                           0                             0                          0
157   o6_t2_ap_d1   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
158   o6_t2_ap_d2   o6_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
159   o6_t2_ap_d2   o6_t2_mf_d2                     1                       1                    1                         0                           0                        0                       0                         1                      1                           0                             0                          0
160   o6_t2_ap_d2   o6_t2_rp_d1                     1                       0                    0                         0                           0                        0                       1                         0                      0                           0                             0                          0
161   o6_t2_ap_d2   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
162   o6_t2_mf_d1   o6_t2_mf_d2                     0                       1                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
163   o6_t2_mf_d1   o6_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
164   o6_t2_mf_d1   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
165   o6_t2_mf_d2   o6_t2_rp_d1                     1                       0                    0                         0                           1                        0                       1                         0                      0                           0                             0                          0
166   o6_t2_mf_d2   o6_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
167   o6_t2_rp_d1   o6_t2_rp_d2                     0                       1                    1                         1                           0                        1                       0                         1                      1                           1                             0                          1
168   o7_t1_cs_d1   o7_t1_cs_d2                     0                       1                    0                         0                           1                        0                       0                         0                      0                           0                             1                          0
169   o7_t1_cs_d1   o7_t2_ap_d1                     1                       1                    1                         0                           1                        1                       1                         1                      1                           0                             1                          0
170   o7_t1_cs_d1   o7_t2_ap_d2                     0                       1                    0                         0                           1                        1                       0                         0                      0                           0                             1                          1
171   o7_t1_cs_d1   o7_t2_mf_d1                     0                       1                    1                         0                           1                        1                       0                         1                      0                           0                             1                          1
172   o7_t1_cs_d1   o7_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
173   o7_t1_cs_d1   o7_t2_rp_d1                     0                       1                    1                         1                           1                        1                       0                         1                      0                           1                             1                          1
174   o7_t1_cs_d1   o7_t2_rp_d2                     0                       0                    0                         0                           1                        1                       0                         0                      0                           0                             1                          0
175   o7_t1_cs_d2   o7_t2_ap_d1                     1                       1                    1                         1                           0                        1                       1                         1                      1                           1                             1                          1
176   o7_t1_cs_d2   o7_t2_ap_d2                     1                       0                    1                         1                           1                        1                       1                         0                      1                           1                             1                          1
177   o7_t1_cs_d2   o7_t2_mf_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
178   o7_t1_cs_d2   o7_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
179   o7_t1_cs_d2   o7_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
180   o7_t1_cs_d2   o7_t2_rp_d2                     0                       0                    0                         1                           1                        1                       0                         0                      0                           1                             1                          1
181   o7_t2_ap_d1   o7_t2_ap_d2                     0                       0                    0                         1                           1                        1                       0                         0                      0                           1                             1                          1
182   o7_t2_ap_d1   o7_t2_mf_d1                     0                       1                    0                         1                           1                        1                       0                         1                      0                           1                             1                          1
183   o7_t2_ap_d1   o7_t2_mf_d2                     1                       0                    1                         1                           1                        1                       0                         0                      0                           1                             1                          1
184   o7_t2_ap_d1   o7_t2_rp_d1                     0                       0                    0                         1                           1                        1                       0                         0                      0                           1                             1                          1
185   o7_t2_ap_d1   o7_t2_rp_d2                     0                       0                    0                         1                           1                        1                       0                         0                      0                           1                             1                          1
186   o7_t2_ap_d2   o7_t2_mf_d1                     1                       1                    1                         0                           1                        0                       1                         1                      1                           0                             1                          0
187   o7_t2_ap_d2   o7_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
188   o7_t2_ap_d2   o7_t2_rp_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
189   o7_t2_ap_d2   o7_t2_rp_d2                     0                       0                    0                         0                           1                        0                       0                         0                      0                           0                             0                          0
190   o7_t2_mf_d1   o7_t2_mf_d2                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             0                          1
191   o7_t2_mf_d1   o7_t2_rp_d1                     1                       0                    1                         1                           0                        1                       1                         0                      1                           1                             0                          1
192   o7_t2_mf_d1   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
193   o7_t2_mf_d2   o7_t2_rp_d1                     0                       1                    0                         1                           1                        1                       0                         1                      0                           1                             1                          1
194   o7_t2_mf_d2   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
195   o7_t2_rp_d1   o7_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
196   o8_t1_cs_d1   o8_t1_cs_d2                     0                       0                    0                         0                           0                        0                       0                         1                      1                           0                             0                          0
197   o8_t1_cs_d1   o8_t2_ap_d1                     0                       1                    1                         0                           1                        1                       0                         1                      1                           0                             1                          1
198   o8_t1_cs_d1   o8_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
199   o8_t1_cs_d1   o8_t2_mf_d1                     0                       1                    0                         0                           1                        1                       0                         1                      0                           0                             1                          1
200   o8_t1_cs_d1   o8_t2_mf_d2                     0                       1                    1                         0                           0                        0                       0                         1                      1                           0                             0                          0
201   o8_t1_cs_d1   o8_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
202   o8_t1_cs_d1   o8_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
203   o8_t1_cs_d2   o8_t2_ap_d1                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
204   o8_t1_cs_d2   o8_t2_ap_d2                     1                       0                    0                         1                           0                        0                       0                         0                      0                           1                             0                          0
205   o8_t1_cs_d2   o8_t2_mf_d1                     0                       1                    0                         1                           1                        1                       0                         1                      0                           1                             1                          1
206   o8_t1_cs_d2   o8_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
207   o8_t1_cs_d2   o8_t2_rp_d1                     0                       1                    1                         1                           0                        1                       0                         0                      0                           1                             0                          1
208   o8_t1_cs_d2   o8_t2_rp_d2                     0                       1                    0                         1                           0                        1                       0                         0                      0                           1                             0                          1
209   o8_t2_ap_d1   o8_t2_ap_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
210   o8_t2_ap_d1   o8_t2_mf_d1                     0                       0                    0                         1                           0                        1                       0                         1                      0                           1                             0                          1
211   o8_t2_ap_d1   o8_t2_mf_d2                     1                       0                    0                         0                           0                        0                       1                         0                      0                           0                             0                          0
212   o8_t2_ap_d1   o8_t2_rp_d1                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
213   o8_t2_ap_d1   o8_t2_rp_d2                     0                       0                    0                         0                           0                        0                       0                         0                      0                           0                             0                          0
214   o8_t2_ap_d2   o8_t2_mf_d1                     0                       1                    1                         1                           1                        1                       0                         1                      0                           1                             1                          1
215   o8_t2_ap_d2   o8_t2_mf_d2                     1                       1                    1                         1                           1                        1                       1                         1                      1                           1                             1                          1
216   o8_t2_ap_d2   o8_t2_rp_d1                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
217   o8_t2_ap_d2   o8_t2_rp_d2                     0                       1                    1                         1                           1                        1                       0                         1                      1                           1                             1                          1
